scenario,controller,seed,RT,RT_norm,Overshoot,RI,NDR,ControlEffort,PerfMean,PerfStd,StabilityPost,Retention,AdaptSpeed,MemStability
adversarial_coupling,arc_v3_lqr_meta,17,100.0,1.0,0.17923788701479482,1.4625,0.9433962264150944,0.4557146745969697,0.8346712688123976,0.06208344633396923,0.06208344633396923,0.9860192498382255,0.0,0.8487517075377021
adversarial_coupling,arc_v3_lqr_meta,18,100.0,1.0,0.2552956277077998,1.4812500000000002,0.9308176100628931,0.4641411371215315,0.8285234777666579,0.0772520337525342,0.0772520337525342,0.9871607243674135,0.0,0.8611043396155571
adversarial_coupling,arc_v3_lqr_meta,19,100.0,1.0,0.17997824997860812,1.4625,0.9433962264150944,0.45048875238273406,0.8358676653882322,0.062202855883397745,0.062202855883397745,0.9836512809564595,0.0,0.8449844508168254
adversarial_coupling,arc_v3_lqr_meta,20,100.0,1.0,0.17982072201321508,1.4625,0.9371069182389937,0.45062206258890025,0.835294904858449,0.06297402539253766,0.06297402539253766,0.982905855386364,0.0,0.8529460958390259
adversarial_coupling,arc_robust,1,100.0,1.0,0.17203177733676467,0.0,0.0,1.2647816784599741,0.9208959808139067,0.09721498741403357,0.09721498741403357,1.0,0.0,0.866188592831026
adversarial_coupling,arc_robust,2,100.0,1.0,0.1757096540252433,0.0,0.0,1.2711925920418539,0.9146838205557379,0.10467562931238793,0.10467562931238793,1.0,0.0,0.8701173893671788
adversarial_coupling,arc_robust,3,100.0,1.0,0.17623603974219693,0.0,0.0,1.2703087553336614,0.9163909392060046,0.10261246174125832,0.10261246174125832,1.0,0.0,0.8685065292380777
adversarial_coupling,arc_robust,4,100.0,1.0,0.174714400419279,0.0,0.0,1.2687059539360142,0.9172974848268792,0.10137161347474498,0.10137161347474498,1.0,0.0,0.8670103068798345
adversarial_coupling,arc_robust,5,100.0,1.0,0.17455579969855117,0.0,0.0,1.2682697713372593,0.9192225121293897,0.09893170776949159,0.09893170776949159,1.0,0.0,0.8677916548715956
adversarial_coupling,arc_robust,6,100.0,1.0,0.17386516189410672,0.0,0.0,1.27131462389814,0.9150886465437986,0.10415677512262153,0.10415677512262153,1.0,0.0,0.869119616675797
adversarial_coupling,arc_robust,7,100.0,1.0,0.1723886543394274,0.0,0.0,1.2668274250512046,0.9180577188224801,0.10130023023573381,0.10130023023573381,1.0,0.0,0.8665270248884865
