agent,env,episode,reward_mean,reward_std,success_rate,n_seeds
ql_arc,GridWorld,58,0.8944999999999999,0.11074633176769333,1.0,20
ql_arc,GridWorld,59,0.9219999999999999,0.012083045973594544,1.0,20
ql_arc,GridWorld,60,0.891,0.10487611739571598,1.0,20
ql_arc,GridWorld,61,0.8709999999999999,0.15731814898478816,1.0,20
ql_arc,GridWorld,62,0.8950000000000001,0.10970414759707128,1.0,20
ql_arc,GridWorld,63,0.924,0.010198039027185536,1.0,20
ql_arc,GridWorld,64,0.9229999999999998,0.010999999999999965,1.0,20
ql_arc,GridWorld,65,0.893,0.10913752791776073,1.0,20
ql_arc,GridWorld,66,0.9,0.10606601717798211,1.0,20
ql_arc,GridWorld,67,0.8985,0.11037549546887661,1.0,20
ql_arc,GridWorld,68,0.9184999999999999,0.016209565077447294,1.0,20
ql_arc,GridWorld,69,0.925,0.008660254037844347,1.0,20
ql_arc,GridWorld,70,0.921,0.015779733838059473,1.0,20
ql_arc,GridWorld,71,0.8955,0.1187634202942977,1.0,20
ql_arc,GridWorld,72,0.8995,0.10580524561665172,1.0,20
ql_arc,GridWorld,73,0.9254999999999999,0.0080467384697155,1.0,20
ql_arc,GridWorld,74,0.9185000000000001,0.024140215409146615,1.0,20
ql_arc,GridWorld,75,0.8975000000000002,0.11915850787921103,1.0,20
ql_arc,GridWorld,76,0.9235,0.012359207094308242,1.0,20
ql_arc,GridWorld,77,0.8979999999999999,0.10614141510268271,1.0,20
ql_arc,GridWorld,78,0.8945000000000001,0.10929203996632143,1.0,20
ql_arc,GridWorld,79,0.9279999999999999,0.005999999999999972,1.0,20
ql_arc,GridWorld,80,0.899,0.1059669759878048,1.0,20
ql_arc,GridWorld,81,0.9189999999999999,0.014456832294800923,1.0,20
ql_arc,GridWorld,82,0.9244999999999999,0.010712142642814242,1.0,20
ql_arc,GridWorld,83,0.9225000000000001,0.011779218989389712,1.0,20
ql_arc,GridWorld,84,0.9189999999999999,0.015459624833740273,1.0,20
ql_arc,GridWorld,85,0.8995,0.11038455507905082,1.0,20
ql_arc,GridWorld,86,0.922,0.014352700094407294,1.0,20
ql_arc,GridWorld,87,0.9195,0.015644487847161985,1.0,20
ql_arc,GridWorld,88,0.9,0.11054410884348383,1.0,20
ql_arc,GridWorld,89,0.923,0.011445523142259561,1.0,20
ql_arc,GridWorld,90,0.9004999999999999,0.10599410360958766,1.0,20
ql_arc,GridWorld,91,0.8985,0.10565391616026357,1.0,20
ql_arc,GridWorld,92,0.8965,0.10532212493108939,1.0,20
ql_arc,GridWorld,93,0.924,0.009165151389911638,1.0,20
ql_arc,GridWorld,94,0.9254999999999999,0.008645808232895255,1.0,20
ql_arc,GridWorld,95,0.923,0.010999999999999965,1.0,20
ql_arc,GridWorld,96,0.8954999999999999,0.10518911540649062,1.0,20
ql_arc,GridWorld,97,0.8719999999999999,0.15114893317519645,1.0,20
ql_arc,GridWorld,98,0.9259999999999999,0.0073484692283494945,1.0,20
ql_arc,GridWorld,99,0.8995,0.10580524561665172,1.0,20
ql_arc,GridWorld,100,0.9174999999999999,0.01639359631075497,1.0,20
ql_arc,GridWorld,101,0.9004999999999999,0.10594692067257078,1.0,20
ql_arc,GridWorld,102,0.9244999999999999,0.010712142642814242,1.0,20
ql_arc,GridWorld,103,0.9225,0.013738631664034055,1.0,20
ql_arc,GridWorld,104,0.8960000000000001,0.11425410277097274,1.0,20
ql_arc,GridWorld,105,0.8975,0.10802198850234151,1.0,20
ql_arc,GridWorld,106,0.8949999999999999,0.10561723344227494,1.0,20
ql_arc,GridWorld,107,0.923,0.011874342087037883,1.0,20
ql_arc,GridWorld,108,0.9260000000000002,0.007348469228349495,1.0,20
ql_arc,GridWorld,109,0.8989999999999998,0.11475626344561764,1.0,20
ql_arc,GridWorld,110,0.897,0.10578752289377043,1.0,20
ql_arc,GridWorld,111,0.9264999999999999,0.007262919523166938,1.0,20
ql_arc,GridWorld,112,0.8699999999999999,0.22291253890259294,1.0,20
ql_arc,GridWorld,113,0.9235,0.009096702699330082,1.0,20
ql_arc,GridWorld,114,0.899,0.10582532778120746,1.0,20
ql_arc,GridWorld,115,0.9225,0.010428326807307065,1.0,20
ql_arc,GridWorld,116,0.8949999999999999,0.12130539971493436,1.0,20
ql_arc,GridWorld,117,0.9185000000000001,0.014239030865898105,1.0,20
ql_arc,GridWorld,118,0.8785000000000001,0.14636512562765763,1.0,20
ql_arc,GridWorld,119,0.8979999999999999,0.11236547512470191,1.0,20
ql_arc,GridWorld,120,0.898,0.1101635148313633,1.0,20
ql_arc,GridWorld,121,0.9029999999999999,0.10640018796975878,1.0,20
ql_arc,GridWorld,122,0.9225,0.012196310917650431,1.0,20
ql_arc,GridWorld,123,0.9005000000000001,0.10589971671350211,1.0,20
ql_arc,GridWorld,124,0.9205,0.01883480820183734,1.0,20
ql_arc,GridWorld,125,0.8965,0.11481615739955765,1.0,20
ql_arc,GridWorld,126,0.8939999999999999,0.10933434958877289,1.0,20
ql_arc,GridWorld,127,0.9259999999999999,0.008602325267042592,1.0,20
ql_arc,GridWorld,128,0.849,0.17773294573601148,1.0,20
